Protein_IDs,Function_or_Complex,Source
Q53H12,AGK,
P00367;P00367-2,aKG-glutamate metabolism,
O15382;O15382-2,aKG-glutamate metabolism,
O75915,aKG-glutamate metabolism,"Lin et al, Nature, 2001 (PMID: 11242046), Ruggiero et al, J Biol Chem, 2008 (PMID: 18167356)"
Q9NVJ2;Q9NVJ2-2,ARL8B,
P24539,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P06576,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P48047,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P25705;P25705-3,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
O75947;O75947-2,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
O75964,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P56385,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P56134;P56134-3,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P36542,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P30049,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
Q96IX5,ATP synthase,"Meyer et al, MCP, 2007 (PMID: 17575325) and Chen et al, FEBS Letters, 2007 (PMID: 17570365)"
P56134-2;P56134-4,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P03928,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P56378;P56378-2,ATP synthase,"Meyer et al, MCP, 2007 (PMID: 17575325) and Chen et al, FEBS Letters, 2007 (PMID: 17570365)"
Q99766,ATP synthase,"Belogrudov and Hatefi, JBC, 2002 (PMID 11744738)"
P56381,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P00846,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
P18859;P18859-2,ATP synthase,"Wittig and Sch盲gger, Biochim Biophys Acta, 2008 (PMID: 18485888)"
Q9UII2,ATPIF1,"García-Bermúdez and Cuezva, Biochim Biophys Acta, 2016 (PMID: 26876430)"
P49189;P49189-2,Carnitine biosynthesis,
Q9NVH6-7;Q9NVH6;Q9NVH6-8;Q9NVH6-5;Q9NVH6-6;Q9NVH6-4,Carnitine biosynthesis,
P23786,Carnitine shuttle,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213)"
P50416;P50416-2,Carnitine shuttle,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Shriver and Manchester, Sci Rep, 2011 (PMID: 22355598)"
O75489,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95298;E9PQ53;O95298-2;O95298-3,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O75438;O75438-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95139;O95139-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O00217,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O75251;O75251-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O96000;O96000-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
Q9P0J0;Q9P0J0-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
Q16718;Q16718-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
Q9NX14;Q9NX14-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95169-3;O95169;O95169-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43920,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P17568,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O15239,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P19404,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03897,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
Q16795,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P28331;P28331-2;P28331-4;P28331-5;P28331-3,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95168;O95168-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43678;O43678-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P49821-2;P49821,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43674;O43674-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
Q86Y39;Q86Y39-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
Q9Y6M9,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
Q9UI09,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43676,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95299;O95299-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O75306;O75306-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95182,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P56556,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P51970,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43181,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95167,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O75380,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95178,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43677,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03886,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03915,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P56181-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03905,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03891,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O14521-2;O14521;O14521-4,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
P31040;P31040-2;P31040-3,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
P21912,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
Q99643,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
