Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,6,0.3594,5.391,8.208,0.2106,0.0460626,"P49589-3 P41250 P54577 P49588;P49588-2 P49591 O43776"
2,12,0.3033,20.02,97.50,0.1414,0.979798,"Q9UBW5 P08567 P14317 Q13094 Q06187;Q06187-2 B0I1T2;B0I1T2-4 P20701;P20701-2 O75558 O75298;O75298-3;O75298-2 P30447 P16885 P41226"
3,5,0.3067,3.067,49.38,0.04911,0.996692,"Q99598 Q9H2P9;Q9H2P9-5;Q9H2P9-3;Q9H2P9-2;Q9H2P9-6;Q9H2P9-4 Q9GZS3 O43447;O43447-2 Q7Z5R6"
4,4,0.3423,2.054,45.33,0.03708,0.992931,"O14972;O14972-2 Q8NEB9 Q8N122;Q8N122-3 Q9GZT4"
5,4,0.4598,2.759,21.47,0.08560,0.969699,"Q9Y3C4;Q9Y3C4-3;Q9Y3C4-2 Q96S44 P53701 Q9NPF4"
6,5,0.3037,3.037,25.94,0.07793,0.952654,"O43765 P53041 Q99733;Q99733-2 P55209-2;P55209 P50148"
7,6,0.3077,4.615,55.38,0.06410,0.989880,"Q9NVA1;Q9NVA1-4;Q9NVA1-2;Q9NVA1-5 Q16540 Q96DA6;Q96DA6-2 O15258 Q9BRT2 P10109"
8,10,0.3006,13.53,105.9,0.09702,0.981182,"Q9Y2R9 P51398-2;P51398;P51398-3 Q9Y3D9 Q9Y2Q9 Q9GZT3-2;Q9GZT3 P23434 Q5U5X0 A4D1E9;A4D1E9-2 Q8IVS2 Q969Z0;Q969Z0-2"
9,5,0.3267,3.267,13.24,0.1233,0.798302,"Q71DI3;Q6NXT2 P84243 Q93077 Q9Y3E1 Q9Y2Z9-3;Q9Y2Z9"
10,5,0.3137,3.137,84.70,0.03207,0.996692,"Q9NXX6;Q9NXX6-2 Q96NB2 Q96CG3 Q8IWA4;Q8IWA4-3 Q6ICB0"
11,4,0.3406,2.044,47.08,0.03578,0.992931,"Q9NRP0;Q9NRP0-2 Q96RQ1 Q9BQB6;Q9BQB6-3;Q9BQB6-2 Q8TB61-3;Q8TB61-2;Q8TB61;Q8TB61-5;Q8TB61-4"
12,9,0.3009,10.83,155.0,0.05893,0.999794,"Q9Y5J7 P62072 O60220 Q9BUR5;Q9BUR5-2 O14561 Q5RI15;Q5RI15-2 P23434 P06746 Q8IVS2"
13,53,0.3001,413.5,2019,0.1629,1.00000,"Q12789;Q12789-3 Q12830;Q12830-4;Q12830-2 Q86VM9 P38432 Q9UBD5-2 O43913 Q7LBC6 O95104;O95104-2;O95104-3 Q7Z3K3-5;Q7Z3K3-2;Q7Z3K3;Q7Z3K3-7;Q7Z3K3-3;Q7Z3K3-6 Q8WXA9-2;Q8WXA9 Q9H7L9 Q9UHR5-2;Q9UHR5 Q14562 Q86UE8-2;Q86UE8;Q86UE8-3 Q15047-3;Q15047 Q9NVR2 Q8IWZ8 P22670 Q8N3X1;Q8N3X1-2 Q92541 Q8NFC6 Q71SY5-4 Q8N201 O60563 Q9H3P2 Q9P2N5 Q13416 P54278;P54278-3 Q93074-3;Q93074;Q93074-2 Q9UBB9 Q86U86-8;Q86U86;Q86U86-5;Q86U86-7;Q86U86-2;Q86U86-4;Q86U86-9;Q86U86-6 Q9H0E3;Q9H0E3-3;Q9H0E3-2 Q9Y6X3 P25490 Q13428-3;Q13428-8;Q13428-5 O60885;O60885-2;O60885-3 Q9HCK8;Q9HCK8-2 Q7L4I2;Q7L4I2-2 Q06330-7;Q06330-4;Q06330-6;Q06330;Q06330-5;Q06330-2 Q96MG7 Q8NCF5;Q8NCF5-2;Q8NCF5-3 P21127-8;P21127-2;P21127;P21127-3;P21127-6;P21127-9;P21127-10;P21127-12;P21127-4;P21127-5 Q66PJ3;Q66PJ3-3;Q66PJ3-2;Q66PJ3-4;Q66PJ3-5 O43166-3;O43166-2;O43166 Q14119 Q7Z2T5;Q7Z2T5-2 P49848;P49848-3;P49848-2 P49916-3;P49916;P49916-4;P49916-2 P49711;P49711-2 Q96RL1;Q96RL1-3;Q96RL1-2 Q9UEE9;Q9UEE9-2 O15164;O15164-2 Q9H6Y2"
