"Majority.protein.IDs","Mean RF score","St Dev of score","Feature_count","Used_for_positive_training","Training_label","Protein.names","Gene.names","Summed_intensities","Fasta.headers"
"Q14566",0.9824415735664835,0.007149364549809001,280,"Used","Positive","DNA replication licensing factor MCM6","MCM6",3.898474016E11,">sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1"
"P25205;P25205-2",0.9786096084769631,0.010288393095550337,274,"Used","Positive","DNA replication licensing factor MCM3","MCM3",4.315127963E11,">sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3;>sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3"
"P49736",0.9721066963288001,0.009477140773301808,275,"Used","Positive","DNA replication licensing factor MCM2","MCM2",3.7547743844E11,">sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4"
"P33991",0.9514979080943656,0.01801848246608299,285,"Used","Positive","DNA replication licensing factor MCM4","MCM4",4.1595746366E11,">sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5"
"P33992",0.9491436675845316,0.018898497817422,272,"Used","Positive","DNA replication licensing factor MCM5","MCM5",4.027853371E11,">sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5"
"P40937;P40937-2",0.9337987092356264,0.025703453230430214,235,"Used","Positive","Replication factor C subunit 5","RFC5",5.338681176E10,">sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1;>sp|P40937-2|RFC5_HUMAN Isoform 2 of Replication factor C subunit 5 OS=Homo sapiens GN=RFC5"
"P49643",0.9093504599801098,0.020450630325458914,201,"Used","Positive","DNA primase large subunit","PRIM2",2.770350871E10,">sp|P49643|PRI2_HUMAN DNA primase large subunit OS=Homo sapiens GN=PRIM2 PE=1 SV=2"
"P09884",0.9069306875116412,0.021313612140097006,169,"Used","Positive","DNA polymerase alpha catalytic subunit","POLA1",3.047194602E10,">sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2"
"Q9BRT9",0.8971340692659147,0.032402417230919155,170,"Used","Positive","DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed","GINS4",7.18448652E9,">sp|Q9BRT9|SLD5_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens GN=GINS4 PE=1 SV=1"
"Q9BRX5;Q9BRX5-3;Q9BRX5-2",0.8955848222977094,0.02916395581479698,181,"Used","Positive","DNA replication complex GINS protein PSF3","GINS3",1.073207693E10,">sp|Q9BRX5|PSF3_HUMAN DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3 PE=1 SV=1;>sp|Q9BRX5-3|PSF3_HUMAN Isoform 3 of DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3;>sp|Q9BRX5-2|PSF3_HUMAN Isoform 2 of DNA replication"
"P33993;P33993-3",0.8952858393673833,0.03433856878564965,275,"Used","Positive","DNA replication licensing factor MCM7","MCM7",4.40089396E11,">sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4;>sp|P33993-3|MCM7_HUMAN Isoform 3 of DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7"
