Majority.protein.IDs,Mean RF score,St Dev of score,Feature_count,Used_for_positive_training,Training_label,Protein.names,Gene.names,Summed_intensities,Fasta.headers
P33992,0.989303098023279,0.0122346183701281,14,Used,Positive,DNA replication licensing factor MCM5,MCM5,402785337100,>sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5
Q14566,0.987144835280374,0.0119173205499396,14,Used,Positive,DNA replication licensing factor MCM6,MCM6,389847401600,>sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1
O95347;O95347-2,0.976566672554066,0.0203539792853973,13,"","",Structural maintenance of chromosomes protein 2,SMC2,140818511760,>sp|O95347|SMC2_HUMAN Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2;>sp|O95347-2|SMC2_HUMAN Isoform 2 of Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2
Q15021,0.975688562757147,0.0161676489738351,10,"","",Condensin complex subunit 1,NCAPD2,81538124440,>sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3
P49736,0.970916892369192,0.0296544931094042,14,Used,Positive,DNA replication licensing factor MCM2,MCM2,375477438440,>sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4
P09884,0.969064514483478,0.0238506572689678,9,Used,Positive,DNA polymerase alpha catalytic subunit,POLA1,30471946020,>sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2
Q9NTJ3;Q9NTJ3-2,0.968670999374312,0.0242839758146194,12,"","",Structural maintenance of chromosomes protein 4,SMC4,125726800500,>sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2;>sp|Q9NTJ3-2|SMC4_HUMAN Isoform 2 of Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4
O95239;O95239-2,0.964119644892139,0.0305326767147564,12,"","",Chromosome-associated kinesin KIF4A,KIF4A,58077811143,>sp|O95239|KIF4A_HUMAN Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A PE=1 SV=3;>sp|O95239-2|KIF4A_HUMAN Isoform 2 of Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A
P25205;P25205-2,0.962083557129927,0.0275517693271217,14,Used,Positive,DNA replication licensing factor MCM3,MCM3,431512796300,>sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3;>sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3
Q9BTC0,0.961550450246396,0.0236442172836244,11,"","",Death-inducer obliterator 1,DIDO1,33903285800,>sp|Q9BTC0|DIDO1_HUMAN Death-inducer obliterator 1 OS=Homo sapiens GN=DIDO1 PE=1 SV=5
P49643,0.957990258015391,0.0269164105978177,10,Used,Positive,DNA primase large subunit,PRIM2,27703508710,>sp|P49643|PRI2_HUMAN DNA primase large subunit OS=Homo sapiens GN=PRIM2 PE=1 SV=2
Q9BPX3,0.954508129224402,0.0314418724318448,10,"","",Condensin complex subunit 3,NCAPG,34161937527,>sp|Q9BPX3|CND3_HUMAN Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1
Q9BRT9,0.953481077183301,0.0345410865062992,9,Used,Positive,"DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed",GINS4,7184486520,>sp|Q9BRT9|SLD5_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens GN=GINS4 PE=1 SV=1
Q9ULM3,0.953095931705868,0.0244175972821794,9,"","",YEATS domain-containing protein 2,YEATS2,1334395900,>sp|Q9ULM3|YETS2_HUMAN YEATS domain-containing protein 2 OS=Homo sapiens GN=YEATS2 PE=1 SV=2
Q86U06-2;Q86U06;Q86U06-4;Q86U06-5;Q86U06-3,0.951694639677567,0.0304337384948321,7,"","",Probable RNA-binding protein 23,RBM23,282761107,>sp|Q86U06-2|RBM23_HUMAN Isoform 2 of Probable RNA-binding protein 23 OS=Homo sapiens GN=RBM23;>sp|Q86U06|RBM23_HUMAN Probable RNA-binding protein 23 OS=Homo sapiens GN=RBM23 PE=1 SV=1;>sp|Q86U06-4|RBM23_HUMAN Isoform 4 of Probable RNA-binding protein 23 O
Q7Z333-4,0.951372755457947,0.025464637386233,9,"","",Probable helicase senataxin,SETX,32231243400,>sp|Q7Z333-4|SETX_HUMAN Isoform 4 of Probable helicase senataxin OS=Homo sapiens GN=SETX
O75792,0.951066056085856,0.0239091278402938,9,"","",Ribonuclease H2 subunit A,RNASEH2A,20851602020,>sp|O75792|RNH2A_HUMAN Ribonuclease H2 subunit A OS=Homo sapiens GN=RNASEH2A PE=1 SV=2
Q9BXW9;Q9BXW9-1;Q9BXW9-3,0.950413656723215,0.0326549081723666,8,"","",Fanconi anemia group D2 protein,FANCD2,98959900777,>sp|Q9BXW9|FACD2_HUMAN Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2 PE=1 SV=2;>sp|Q9BXW9-1|FACD2_HUMAN Isoform 1 of Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2;>sp|Q9BXW9-3|FACD2_HUMAN Isoform 3 of Fanconi anemia group D2 protein
