Majority.protein.IDs,Mean RF score,St Dev of score,Feature_count,Used_for_positive_training,Training_label,Protein.names,Gene.names,Summed_intensities,Fasta.headers
Q14566,0.980710681425815,0.0110415010218814,266,Used,Positive,DNA replication licensing factor MCM6,MCM6,389847401600,>sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1
P25205;P25205-2,0.979990714176686,0.0103050897553632,259,Used,Positive,DNA replication licensing factor MCM3,MCM3,431512796300,>sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3;>sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3
P49736,0.975853838124943,0.00983899931870182,260,Used,Positive,DNA replication licensing factor MCM2,MCM2,375477438440,>sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4
P33992,0.953610257025349,0.0212755980149061,257,Used,Positive,DNA replication licensing factor MCM5,MCM5,402785337100,>sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5
P33991,0.943091255252657,0.0176187111535061,271,Used,Positive,DNA replication licensing factor MCM4,MCM4,415957463660,>sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5
P49643,0.924251673399615,0.0250662487745119,187,Used,Positive,DNA primase large subunit,PRIM2,27703508710,>sp|P49643|PRI2_HUMAN DNA primase large subunit OS=Homo sapiens GN=PRIM2 PE=1 SV=2
P40937;P40937-2,0.920101083784096,0.024550305703805,220,Used,Positive,Replication factor C subunit 5,RFC5,53386811760,>sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1;>sp|P40937-2|RFC5_HUMAN Isoform 2 of Replication factor C subunit 5 OS=Homo sapiens GN=RFC5
Q9NTJ3;Q9NTJ3-2,0.914009561355815,0.0316605684606851,245,"","",Structural maintenance of chromosomes protein 4,SMC4,125726800500,>sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2;>sp|Q9NTJ3-2|SMC4_HUMAN Isoform 2 of Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4
Q9Y248,0.910745621775262,0.0231392368512678,155,Used,Positive,DNA replication complex GINS protein PSF2,GINS2,5113458120,>sp|Q9Y248|PSF2_HUMAN DNA replication complex GINS protein PSF2 OS=Homo sapiens GN=GINS2 PE=1 SV=1
Q15021,0.908541574340233,0.0327303695524225,231,"","",Condensin complex subunit 1,NCAPD2,81538124440,>sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3
P09884,0.907482216474906,0.0257902689789917,155,Used,Positive,DNA polymerase alpha catalytic subunit,POLA1,30471946020,>sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2
Q9BRT9,0.898756351768961,0.0280395035358768,158,Used,Positive,"DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed",GINS4,7184486520,>sp|Q9BRT9|SLD5_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens GN=GINS4 PE=1 SV=1
