Majority.protein.IDs,Mean RF score,St Dev of score,Feature_count,Used_for_positive_training,Training_label,Protein.names,Gene.names,Summed_intensities,Fasta.headers
Q14566,0.980614275649993,0.00961975619065573,266,Used,Positive,DNA replication licensing factor MCM6,MCM6,389847401600,>sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1
P25205;P25205-2,0.979920215499045,0.00935147986397061,260,Used,Positive,DNA replication licensing factor MCM3,MCM3,431512796300,>sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3;>sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3
P49736,0.968535149922927,0.0144063340331688,261,Used,Positive,DNA replication licensing factor MCM2,MCM2,375477438440,>sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4
P33992,0.951582778382498,0.0233702194373495,258,Used,Positive,DNA replication licensing factor MCM5,MCM5,402785337100,>sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5
P33991,0.942956088763775,0.0225253417442016,271,Used,Positive,DNA replication licensing factor MCM4,MCM4,415957463660,>sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5
P40937;P40937-2,0.926356569187172,0.019048138523387,223,Used,Positive,Replication factor C subunit 5,RFC5,53386811760,>sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1;>sp|P40937-2|RFC5_HUMAN Isoform 2 of Replication factor C subunit 5 OS=Homo sapiens GN=RFC5
P33993;P33993-3,0.915776023747727,0.0262820575158642,261,Used,Positive,DNA replication licensing factor MCM7,MCM7,440089396000,>sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4;>sp|P33993-3|MCM7_HUMAN Isoform 3 of DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7
P09884,0.898291896812717,0.0277892455126611,161,Used,Positive,DNA polymerase alpha catalytic subunit,POLA1,30471946020,>sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2
P49643,0.896454716306055,0.0285636291222195,190,Used,Positive,DNA primase large subunit,PRIM2,27703508710,>sp|P49643|PRI2_HUMAN DNA primase large subunit OS=Homo sapiens GN=PRIM2 PE=1 SV=2
P35249;P35249-2,0.894116421365718,0.0303884442325391,218,Used,Positive,Replication factor C subunit 4,RFC4,73762730375,>sp|P35249|RFC4_HUMAN Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=1 SV=2;>sp|P35249-2|RFC4_HUMAN Isoform 2 of Replication factor C subunit 4 OS=Homo sapiens GN=RFC4
Q9BRT9,0.88429080673267,0.0305971722437303,161,Used,Positive,"DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed",GINS4,7184486520,>sp|Q9BRT9|SLD5_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens GN=GINS4 PE=1 SV=1
Q9BRX5;Q9BRX5-3;Q9BRX5-2,0.881768049172545,0.0332859300820207,171,Used,Positive,DNA replication complex GINS protein PSF3,GINS3,10732076930,>sp|Q9BRX5|PSF3_HUMAN DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3 PE=1 SV=1;>sp|Q9BRX5-3|PSF3_HUMAN Isoform 3 of DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3;>sp|Q9BRX5-2|PSF3_HUMAN Isoform 2 of DNA replication
P40938;P40938-2,0.875791416652968,0.0237403419839011,236,Used,Positive,Replication factor C subunit 3,RFC3,54491684020,>sp|P40938|RFC3_HUMAN Replication factor C subunit 3 OS=Homo sapiens GN=RFC3 PE=1 SV=2;>sp|P40938-2|RFC3_HUMAN Isoform 2 of Replication factor C subunit 3 OS=Homo sapiens GN=RFC3
O75717;O75717-2,0.871833813934047,0.0286378660729904,213,Used,Positive,WD repeat and HMG-box DNA-binding protein 1,WDHD1,69997458455,>sp|O75717|WDHD1_HUMAN WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1;>sp|O75717-2|WDHD1_HUMAN Isoform 2 of WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1
P18858;P18858-2,0.864596141119171,0.0363392167487208,195,Used,Positive,DNA ligase 1,LIG1,63875864410,>sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1;>sp|P18858-2|DNLI1_HUMAN Isoform 2 of DNA ligase 1 OS=Homo sapiens GN=LIG1
P35250;P35250-2,0.855566738621358,0.027073768664649,218,Used,Positive,Replication factor C subunit 2,RFC2,43363996330,>sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3;>sp|P35250-2|RFC2_HUMAN Isoform 2 of Replication factor C subunit 2 OS=Homo sapiens GN=RFC2
P33316-2,0.853848714759603,0.0426611048289673,235,"","","Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",DUT,137804608619,">sp|P33316-2|DUT_HUMAN Isoform 2 of Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT"
Q8WVB6;Q8WVB6-2;Q8WVB6-3,0.842610056072149,0.0290660144808153,169,Used,Positive,Chromosome transmission fidelity protein 18 homolog,CHTF18,12490608249,>sp|Q8WVB6|CTF18_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens GN=CHTF18 PE=1 SV=1;>sp|Q8WVB6-2|CTF18_HUMAN Isoform 2 of Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens GN=CHTF18;>sp|Q8WVB6-3|CTF18_HUMAN Isof
Q14691,0.840409666472518,0.0311422727060172,117,Used,Positive,DNA replication complex GINS protein PSF1,GINS1,2148294190,>sp|Q14691|PSF1_HUMAN DNA replication complex GINS protein PSF1 OS=Homo sapiens GN=GINS1 PE=1 SV=1
Q9Y248,0.831610098881759,0.0477828744864171,152,Used,Positive,DNA replication complex GINS protein PSF2,GINS2,5113458120,>sp|Q9Y248|PSF2_HUMAN DNA replication complex GINS protein PSF2 OS=Homo sapiens GN=GINS2 PE=1 SV=1
Q14181,0.831448594736171,0.0384882652898664,146,Used,Positive,DNA polymerase alpha subunit B,POLA2,13507975834,>sp|Q14181|DPOA2_HUMAN DNA polymerase alpha subunit B OS=Homo sapiens GN=POLA2 PE=1 SV=2
Q13112,0.822604721035014,0.0276619464250141,147,"","",Chromatin assembly factor 1 subunit B,CHAF1B,20625697502.2,>sp|Q13112|CAF1B_HUMAN Chromatin assembly factor 1 subunit B OS=Homo sapiens GN=CHAF1B PE=1 SV=1
Q9NTJ3;Q9NTJ3-2,0.817540265907075,0.0626242669539588,245,"","",Structural maintenance of chromosomes protein 4,SMC4,125726800500,>sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2;>sp|Q9NTJ3-2|SMC4_HUMAN Isoform 2 of Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4
Q9BXW9;Q9BXW9-1;Q9BXW9-3,0.800069494546479,0.0442316180856326,179,"","",Fanconi anemia group D2 protein,FANCD2,98959900777,>sp|Q9BXW9|FACD2_HUMAN Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2 PE=1 SV=2;>sp|Q9BXW9-1|FACD2_HUMAN Isoform 1 of Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2;>sp|Q9BXW9-3|FACD2_HUMAN Isoform 3 of Fanconi anemia group D2 protein
O95239;O95239-2,0.794502262678998,0.0593789365542309,198,"","",Chromosome-associated kinesin KIF4A,KIF4A,58077811143,>sp|O95239|KIF4A_HUMAN Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A PE=1 SV=3;>sp|O95239-2|KIF4A_HUMAN Isoform 2 of Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A
Q9NSP4;Q9NSP4-4,0.793502747967433,0.0437427805945244,83,"","",Centromere protein M,CENPM,553433850,>sp|Q9NSP4|CENPM_HUMAN Centromere protein M OS=Homo sapiens GN=CENPM PE=1 SV=1;>sp|Q9NSP4-4|CENPM_HUMAN Isoform 4 of Centromere protein M OS=Homo sapiens GN=CENPM
Q86XI2;Q86XI2-2,0.792384778832802,0.0509079996564822,158,"","",Condensin-2 complex subunit G2,NCAPG2,12824834100,>sp|Q86XI2|CNDG2_HUMAN Condensin-2 complex subunit G2 OS=Homo sapiens GN=NCAPG2 PE=1 SV=1;>sp|Q86XI2-2|CNDG2_HUMAN Isoform 2 of Condensin-2 complex subunit G2 OS=Homo sapiens GN=NCAPG2
Q15021,0.788706563005374,0.0621930749200623,231,"","",Condensin complex subunit 1,NCAPD2,81538124440,>sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3
Q8NBT2;Q8NBT2-2,0.788087052987779,0.0399769084254382,156,"","",Kinetochore protein Spc24,SPC24,13360131550,>sp|Q8NBT2|SPC24_HUMAN Kinetochore protein Spc24 OS=Homo sapiens GN=SPC24 PE=1 SV=2;>sp|Q8NBT2-2|SPC24_HUMAN Isoform 2 of Kinetochore protein Spc24 OS=Homo sapiens GN=SPC24
Q9HBM1,0.782190609025417,0.0359455642195558,123,"","",Kinetochore protein Spc25,SPC25,5155263490,>sp|Q9HBM1|SPC25_HUMAN Kinetochore protein Spc25 OS=Homo sapiens GN=SPC25 PE=1 SV=1
P26358-2,0.773148596045722,0.0652002874718012,248,"","",DNA (cytosine-5)-methyltransferase 1,DNMT1,284245987360,>sp|P26358-2|DNMT1_HUMAN Isoform 2 of DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens GN=DNMT1
Q2NKX8,0.768019481570744,0.0426923114960102,125,"","",DNA excision repair protein ERCC-6-like,ERCC6L,3722335240,>sp|Q2NKX8|ERC6L_HUMAN DNA excision repair protein ERCC-6-like OS=Homo sapiens GN=ERCC6L PE=1 SV=1
