Ensembl,Mouse_Uniprot,Human_Ortholog,Human_Uniprot,SILAC_adrenal_gland,SILAC_brain_cortex,SILAC_brown_adipose_tissue,SILAC_cerebellum,SILAC_duodenum,SILAC_embryonic_tissue,SILAC_eye,SILAC_heart,SILAC_kidney,SILAC_large_intestine,SILAC_liver,SILAC_lung,SILAC_ovary,SILAC_pancreas,SILAC_skeletal_muscle,SILAC_spleen,SILAC_stomach,SILAC_subcutaneous_adipose_tissue,SILAC_thymus,SILAC_uterus,TPM_adrenal_gland,TPM_brain_cortex,TPM_brown_adipose_tissue,TPM_cerebellum,TPM_duodenum,TPM_embryonic_tissue,TPM_eye,TPM_heart,TPM_kidney,TPM_large_intestine,TPM_liver,TPM_lung,TPM_ovary,TPM_pancreas,TPM_skeletal_muscle,TPM_spleen,TPM_stomach,TPM_subcutaneous_adipose_tissue,TPM_thymus,TPM_uterus
ENSMUSG00000045763,Q91XV3,ENSG00000176788,P80723,-3.650047263,4.59348626,-5.606152131,1.781069419,-4.085167594,-2.12078452,1.62134088,-2.007636065,-3.85004529,-4.842641927,-5.992790676,-3.183333537,-3.537669158,-3.569652417,-0.98775384,-2.312396547,-1.932955907,-3.91804295,-2.428021725,-2.375476235,0.226572036,5.42108169,-0.28513928,2.519425023,0.575614909,3.942310326,3.766555157,-1.409490456,-1.571498623,-0.448456092,-2.221661146,-0.171740633,1.713461759,1.776618762,-1.135071343,1.730654339,2.230935605,-0.154735905,1.224833771,-0.414495543
ENSMUSG00000021314,Q7TQF7,ENSG00000078053,P49418,-3.277538931,4.987485873,-3.75656753,2.552573915,-3.471137739,-3.639777304,0.93240593,-1.40811088,-4.292853818,-4.799098617,-5.937378261,-2.25767858,-5.254452984,NA,-0.636052971,-5.669000174,-3.112808952,NA,-2.367712395,-3.336824154,0.848026618,6.878583084,-1.036729418,6.718005972,0.831291571,2.947688983,4.840750524,0.844448807,-0.564580942,2.211059453,-4.67641417,3.691895706,-0.908012541,2.607484647,-0.276163887,-0.269710781,-0.096727503,0.798808425,-0.191871675,-0.397144776
ENSMUSG00000038349,Q3USB7,ENSG00000115896,Q15111,-4.445457021,-4.59022035,-1.362233736,0.756747602,-6.291231759,-5.573824813,0.746204883,-3.168665352,-6.293051659,-6.107996362,-5.730069248,-5.90087538,-6.820670165,-3.785239949,8.441510737,-6.783686252,-4.076005226,-1.321181603,-0.375133387,-3.473635401,-0.030811032,3.557394407,-0.007765967,2.77072492,-1.092046033,0.908147151,-2.564870979,0.364098192,1.977672716,-0.970873879,-2.706344408,1.196311434,-0.098407451,-3.268106019,1.487454997,-0.336540601,-0.540348815,0.010228766,0.9745953,-4.060429543
ENSMUSG00000047281,O70456,ENSG00000175793,P31947,-3.887161644,-3.638599878,-4.036411946,-5.311853332,0.38878154,-0.968759544,0.960014657,-1.475931453,-1.867230998,1.466755141,-5.511018167,-1.804169984,-2.553332849,-1.62917047,1.450215253,-1.563913167,2.854092208,-2.801276649,1.390888199,0.601473876,0.011949483,-3.532122793,-1.927037602,-0.132810771,6.969308247,-3.914162755,6.366729075,-0.088317772,1.161355464,6.475569378,-1.253061875,4.257417216,1.830093294,3.694802626,-2.42128597,3.547130975,7.592504365,0.856032821,4.067790536,5.543438994
ENSMUSG00000006221,P35385,ENSG00000173641,Q9UBY9,-0.593765054,-3.502152313,-1.17672453,-2.726429691,0.982295748,-3.514792708,1.328781117,4.790030328,-4.384341736,-0.929805979,-5.337072751,-1.699997444,1.029728754,NA,4.150734154,-3.144293536,2.723261822,-0.272578795,-4.252573692,3.1664965,-2.394948622,-6.758726923,-1.317140464,-5.959752627,1.198146384,0.005589646,1.475458562,7.416434679,-0.445302454,0.383653756,-6.485204188,1.42967607,0.675792973,-1.196853475,4.445827557,-1.033800992,2.97105895,0.363918405,1.112371478,1.776184434
ENSMUSG00000031636,O70209,ENSG00000154553,Q53GG5,-2.82413345,-2.327978033,-1.286340171,-3.813605138,2.929747271,NA,-0.614306044,0.016917855,-2.331806445,0.265671137,-5.037468586,-1.262126931,1.542386586,-2.113592166,4.984559273,-1.200621238,3.170897415,0.756270351,-2.30767274,3.997145359,-2.68509015,-2.024230975,-0.668132415,-2.063826472,3.269234915,-0.01005996,2.556550564,2.958512813,-0.350020069,3.407947953,-3.125272679,2.164696449,3.25745769,-0.263646049,6.954880662,0.188560182,4.495872117,3.791593999,-0.216963824,5.82066681
ENSMUSG00000062515,P04117,ENSG00000170323,P15090,1.484197751,-2.639468715,3.357854469,-3.482443015,-2.895913227,-6.901874927,-2.269081125,0.682950948,-2.381892347,-3.742571023,-5.015987234,-3.239467361,-1.263528836,-2.204801049,-0.375896482,-4.64686337,-1.816660341,4.016500411,-0.139403049,-2.534106524,2.454960577,-7.457658578,9.778939332,-7.765599486,-1.585080201,-6.102732945,3.73395578,4.3288046,3.186539006,1.351626215,-2.535847407,1.310105441,0.084014859,5.53657955,4.658632675,-2.293447601,-0.177338845,7.164052059,1.317841045,6.72202534
ENSMUSG00000023064,Q5GQ64,ENSG00000173267,O76070,-0.249991188,1.723068913,0.490781338,0.721657671,-0.242711935,-0.301205711,0.166299603,1.223880025,-0.341388694,-1.388438212,-4.948407819,-1.653067444,-0.08059402,-0.985257255,1.023985082,-2.690075765,1.63117148,4.262001463,-0.555184909,0.000414316,0.830056605,-2.456275565,3.196139783,1.967824301,-0.720913065,0.31671526,3.570575708,-0.066802793,-0.136963461,0.148039413,-4.685253171,-0.947594683,0.665187563,2.603223183,0.457500889,-2.724175601,0.488382849,5.380817671,-1.482000492,-1.925091998
ENSMUSG00000029223,Q9R0P9,ENSG00000154277,P09936,-0.258897295,3.582250133,-2.171543871,1.871189999,-1.964579027,-0.510666579,3.506219182,-0.716946014,-2.987645808,-3.370767823,-4.560760129,-3.450197738,-1.920713882,-3.182820028,-0.653007765,-2.987121428,-1.270454106,-1.222040175,-2.771558738,-1.359074353,3.251865221,5.50754518,-3.456408745,5.324976621,1.412966252,2.020807635,5.293509342,0.883609304,0.228284366,0.998231696,-7.154987186,-0.571772272,3.570261829,3.95563671,-1.924661905,-2.355272604,1.869546177,-0.493115356,-1.679722505,-0.458786545
ENSMUSG00000030399,A2RTA0,ENSG00000104879,P06732,-3.613017683,-3.568026681,-0.581841643,-1.797407801,-2.175311625,-7.112411674,1.356927546,3.145453557,-4.343987212,-4.703795607,-4.29261366,-3.541511675,-5.317964375,-2.656520111,5.779985217,-2.918196869,-2.320085635,-3.269354693,-3.140085644,-3.034964174,-5.064087406,-0.390051146,3.26184226,-6.663573842,1.223293117,-7.355550018,10.00636001,7.775024861,2.220081325,0.784249465,-6.745075211,3.811414804,-4.286001641,2.568326542,11.6679366,-4.973375006,4.420015891,-3.803958748,1.750945433,2.366440944
